#{"t_start": 1701078767.9973032, "env_id": "None"}
r,l,t
2.56328,199,3145.606515
2.682538,448,3154.809955
0.836562,106,3157.246573
1.674975,130,3160.166832
1.613642,134,3163.177883
1.630143,189,3167.057591
1.190335,102,3169.23266
1.83116,226,3173.778413
1.680938,145,3176.756203
2.737166,341,3184.590389
1.229432,130,3187.6501
0.962485,415,3195.730434
1.698125,118,3198.380877
1.442444,112,3200.867226
1.465415,270,3206.771344
2.041409,372,3213.76225
0.907807,170,3217.08833
1.549654,304,3222.95563
1.693045,204,3227.171916
2.816443,323,3233.569107
2.263472,267,3238.862506
2.180976,605,3250.703758
0.960486,160,3254.719635
2.096897,434,3263.9517
1.726342,143,3267.183929
2.352067,294,3272.967356
2.898206,366,3280.356194
1.199503,542,3291.552285
2.425138,187,3295.58063
1.904193,266,3301.468609
0.959851,329,3308.210487
1.046185,157,3311.713673
3.784175,390,3319.529121
0.666227,195,3323.535915
3.178119,384,3331.525343
2.615477,176,3335.416536
1.557943,109,3337.924053
2.496393,269,3343.816308
1.74401,199,3348.358267
2.904992,203,3352.841209
1.65215,357,3360.420586
2.248293,168,3363.862094
2.197039,193,3367.795309
2.230513,142,3370.683122
2.867245,187,3374.829663
1.949165,268,3380.5544
4.140698,626,3392.693659
1.171748,111,3395.302931
1.391354,208,3399.846741
0.856618,304,3406.209527
2.402837,227,3410.906248
0.770142,181,3414.782944
1.630972,108,3417.246373
1.930219,179,3421.185802
1.107008,208,3425.61227
1.757078,248,3430.650688
2.516096,147,3433.626263
4.46545,274,3439.246015
1.336105,404,3447.233738
1.577838,118,3449.709491
1.663337,253,3454.882871
2.981062,483,3464.670409
2.078374,184,3468.555396
1.384452,171,3472.213315
1.620853,201,3476.610486
1.349823,151,3479.821846
1.042009,140,3482.870712
3.664363,615,3494.856724
1.36118,173,3498.665315
1.809191,269,3504.338449
3.605071,229,3509.207596
3.813102,317,3515.560418
0.934343,116,3518.100622
3.417675,594,3529.440794
2.851519,545,3539.755857
2.120867,174,3543.449123
1.435577,223,3548.197006
2.416823,390,3556.083975
1.78616,300,3562.653199
3.03466,519,3573.752756
1.259701,125,3576.568023
2.138186,209,3581.245152
4.243697,353,3588.698561
0.102272,139,3591.799709
1.438158,113,3594.429686
1.46341,221,3599.243198
1.421305,410,3607.801653
2.316336,377,3615.87335
2.788905,201,3620.197792
1.423222,350,3627.387712
3.89912,518,3637.581258
1.56642,348,3644.610383
5.34335,450,3653.470409
3.585134,272,3659.219878
2.016007,322,3666.196448
1.676582,134,3669.209883
2.431384,312,3675.811237
2.161947,352,3683.08204
3.605293,649,3695.582677
2.979941,434,3704.366883
4.790663,375,3712.27301
3.101402,278,3718.087925
2.698836,243,3723.038554
2.288115,191,3727.182949
7.053202,542,3738.047444
3.321195,359,3745.333926
4.182968,521,3755.447431
4.887402,390,3763.28414
1.219178,165,3766.898677
2.836511,229,3771.873296
2.427583,229,3776.65845
2.024991,220,3781.156001
4.597039,366,3788.604937
1.211802,248,3793.679265
1.969792,189,3797.477827
3.410745,257,3802.538768
1.975652,148,3805.82437
3.280491,209,3810.236862
8.110473,1001,3829.352304
3.420072,351,3836.306308
4.714316,348,3843.442825
2.195257,207,3847.933905
1.870491,173,3851.734985
2.750606,148,3855.08918
2.838687,211,3859.623152
2.60401,187,3863.726308
2.061989,207,3868.45751
3.410883,304,3874.456992
2.720642,275,3879.777135
8.237027,504,3889.494055
5.492058,593,3900.55856
2.538591,293,3906.28323
3.339201,277,3911.996977
3.026651,193,3916.051586
4.016276,265,3921.295476
7.229904,498,3930.774082
5.084453,535,3941.393155
3.355938,217,3945.972303
4.409376,554,3956.801503
2.542562,157,3960.286664
6.309477,642,3973.061018
4.063415,327,3979.627172
1.335983,138,3982.505275
2.302635,207,3986.569185
8.824304,453,3995.312722
5.27583,254,4000.486143
1.726278,279,4006.073723
3.339396,435,4014.491745
3.861333,340,4020.861841
2.385671,134,4023.549899
2.176582,570,4034.417825
2.711124,225,4039.37598
3.578929,255,4044.990164
1.340301,158,4048.680432
2.841354,207,4053.461094
1.619142,173,4057.364784
4.367697,238,4062.156917
1.444372,106,4064.468957
1.522936,153,4067.598231
1.483557,313,4073.523156
2.769509,162,4076.716772
3.412034,741,4090.315076
3.110194,315,4096.507607
6.847842,884,4113.248765
2.353533,170,4116.545197
3.343812,221,4120.753422
2.445353,301,4126.328619
